FIPS,Town,Age Range,Population
900781680,Westbrook,0 to 8,552
900183430,Weston,0 to 8,1267
900183500,Westport,0 to 8,3279
900384900,Wethersfield,0 to 8,2521
901385950,Willington,0 to 8,451
900186370,Wilton,0 to 8,2380
900586440,Winchester,0 to 8,1056
901586790,Windham,0 to 8,2788
900387070,Windsor Locks,0 to 8,1134
900387000,Windsor,0 to 8,2689
900987560,Wolcott,0 to 8,1587
900987700,Woodbridge,0 to 8,769
900587910,Woodbury,0 to 8,813
901588190,Woodstock,0 to 8,722
9,Connecticut,0 to 8,378867
901301080,Andover,9 to 17,497
900901220,Ansonia,9 to 17,2382
901501430,Ashford,9 to 17,538
900302060,Avon,9 to 17,2904
900502760,Barkhamsted,9 to 17,524
900903250,Beacon Falls,9 to 17,745
900304300,Berlin,9 to 17,2433
900904580,Bethany,9 to 17,834
900104720,Bethel,9 to 17,2434
900504930,Bethlehem,9 to 17,482
900305910,Bloomfield,9 to 17,2137
901306260,Bolton,9 to 17,696
901106820,Bozrah,9 to 17,320
900907310,Branford,9 to 17,2821
900108070,Bridgeport,9 to 17,17565
900508210,Bridgewater,9 to 17,199
900308490,Bristol,9 to 17,6810
900108980,Brookfield,9 to 17,2444
901509190,Brooklyn,9 to 17,975
900310100,Burlington,9 to 17,1473
900510940,Canaan,9 to 17,120
901512130,Canterbury,9 to 17,650
900312270,Canton,9 to 17,1341
901513810,Chaplin,9 to 17,251
900914160,Cheshire,9 to 17,4280
900714300,Chester,9 to 17,475
900715350,Clinton,9 to 17,1531
901115910,Colchester,9 to 17,2409
900516050,Colebrook,9 to 17,201
901316400,Columbia,9 to 17,686
900517240,Cornwall,9 to 17,179
901317800,Coventry,9 to 17,1641
900718080,Cromwell,9 to 17,1594
900118500,Danbury,9 to 17,7899
900118850,Darien,9 to 17,3980
900719130,Deep River,9 to 17,521
900919550,Derby,9 to 17,1335
900720810,Durham,9 to 17,1162
900322070,East Granby,9 to 17,710
900722280,East Haddam,9 to 17,1167
900722490,East Hampton,9 to 17,1580
900322630,East Hartford,9 to 17,6031
900922910,East Haven,9 to 17,3053
901123400,East Lyme,9 to 17,2187
900324800,East Windsor,9 to 17,1122
901521860,Eastford,9 to 17,208
900123890,Easton,9 to 17,1304
901325360,Ellington,9 to 17,1970
900325990,Enfield,9 to 17,4721
900726270,Essex,9 to 17,805
900126620,Fairfield,9 to 17,8114
900327600,Farmington,9 to 17,3209
901129910,Franklin,9 to 17,251
900331240,Glastonbury,9 to 17,5308
900532290,Goshen,9 to 17,377
900332640,Granby,9 to 17,1748
900133620,Greenwich,9 to 17,8868
901133900,Griswold,9 to 17,1481
901134250,Groton,9 to 17,3633
900934950,Guilford,9 to 17,3060
900735230,Haddam,9 to 17,1055
900935650,Hamden,9 to 17,6013
901536000,Hampton,9 to 17,208
900337070,Hartford,9 to 17,15996
900337140,Hartland,9 to 17,244
900537280,Harwinton,9 to 17,757
901337910,Hebron,9 to 17,1644
900540290,Kent,9 to 17,290
901540500,Killingly,9 to 17,2014
900740710,Killingworth,9 to 17,938
901142390,Lebanon,9 to 17,1032
901142600,Ledyard,9 to 17,2041
901143230,Lisbon,9 to 17,616
900543370,Litchfield,9 to 17,1055
901144210,Lyme,9 to 17,259
900944560,Madison,9 to 17,3123
900344700,Manchester,9 to 17,5954
901344910,Mansfield,9 to 17,1469
900345820,Marlborough,9 to 17,887
900946520,Meriden,9 to 17,7428
900946940,Middlebury,9 to 17,1064
900747080,Middlefield,9 to 17,605
900747360,Middletown,9 to 17,4558
900947535,Milford,9 to 17,5819
900148620,Monroe,9 to 17,3148
901148900,Montville,9 to 17,2201
900549460,Morris,9 to 17,301
900949950,Naugatuck,9 to 17,3944
900350440,New Britain,9 to 17,8330
900150580,New Canaan,9 to 17,3758
900150860,New Fairfield,9 to 17,2349
